,new_or_used,двигатель,комплектация,коробка,кузов,налог,онлайн-показ,описание,привод,цвет,цена,1 владелец,vin,владельцы,год выпуска,дтп ненайдены,обмен,пробег,птс,руль,состояние,таможня,госномер,владение,продаёт собственник,гарантия,на гарантии,проверенный автомобиль,медленно теряет вцене
0,new,1.6 л / 110л.с. / бензин,respect,механическая,лифтбек,2750₽ / год,1.0,"хотите получить дополнительную выгоду до 10%? только до 28.02.2021 г. гос.программа за наш счёт! на данный автомобиль действует специальное предложение! спешите! эксклюзивные условия в фольксваген центр север. только в марте мы готовы сделать вам лучшее предложение на новый volkswagen. не упустите свой шанс! даже если у вас есть предложение, которое кажется оптимальным, позвоните нам, и мы постараемся его улучшить. нет ничего невозможного вместе с фольксваген центр север! *в объявлении указаны актуальные цены с учетом акций на покупку новых автомобилей volkswagen в марте. комплектация respect покупка одним днём! оборудование ------------------------------------------------- – пакет ‘зимний’ для версии respect  - пакет ‘комфорт’  для версии respect  - спорт пакет для версии respect 110 л.с",передний,серый,от 1017400₽,,,,,,,,,,,,,,,,,,
1,new,1.6 л / 110л.с. / бензин,exclusive,автоматическая,лифтбек,2750₽ / год,,"——————————————————————————— функциональное оборудование ——————————————————————————— • центральный замок с дистанционным управлением, 2 складных радиоключа • система бесключевого доступа ""keyless access"" • светодиодные фары проекционного типа • дневные ходовые огни • датчики света • подвеска для плохих дорог • наружные зеркала с электроподогревом • электрообогрев лобового стекла • обогрев форсунок омывателя ветрового стекла • электроподогрев передних сидений с раздельной регулировкой • рулевое колесо с обогревом • наружные зеркала с электрорегулировкой • электростеклоподъемники для всех дверей • электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости • рулевая колонка с регулировкой по высоте и вылету • мультифункциональное рулевое колесо • климат-контроль автоматический «climatronic» с режимом рециркуляции • мультимедиа система с дисплеем 8.0 дюймов и поддержкой функцией bluetooth / app-connect, 6 динамиков • датчики парковки спереди и сзади • заднее сиденье 3-местное, спинка ассиметрично разделенная, складная • цифровая приборная панель ""active info display"" • круиз-контроль • система бесключевого запуска двигателя ""keyless access"" • датчики дождя • атмосферная подсветка пространства для ног спереди • салонное зеркало с автозатемнением • комфортный режим работы указателей поворота (одно нажатие - три сигнала) • обогрев заднего стекла • омыватель и очиститель лобового стекла с переменным режимом • акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) • система эра-глонасс • сиденье водителя с регулировкой по высоте • светодиодные задние фонари • всепогодное освещение ——————————————————————————— безопасность ——————————————————————————— • боковые шторки безопасности* • боковые подушки безопасности для водителя и переднего пассажира* • противоугонная система с датчиками внутреннего объёма и автономной сиреной* • отключение пассажирской передней подушки безопасности* • пакет ""безопасность""* • фронтальные подушки безопасности для водителя и переднего пассажира • антиблокировочная система (abs) • система стабилизации esc • система контроля давления в шинах • крепления isofix для установки детских сидений на заднем кресле • электронный иммобилайзер • индикация и звуковая сигнализация непристегнутого ремня безопасности водителя • з подголовника сзади, регулируемые по высоте • подголовники спереди с регулировкой по высоте • трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте ——————————————————————————— интерьер ——————————————————————————— • цвет обивки сидений: черный* • цвет передней панели: черный* • цвет коврового покрытия: черный* • цвет потолка: серый* • количество мест: 5 • тип сидений: обычные сиденья • тканевая обивка сидений • зеленое атермальное остекление • 3-спицевое рулевое колесо с кожаной отделкой • центральный подлокотник спереди с боксом • декор передней консоли exclusive • центральный подлокотник сзади • кожаная отделка рукояток рычагов кп и стояночного тормоза • карманы в обшивках всех дверей • хромированная отделка внутренних ручек дверей • подстаканник спереди ——————————————————————————— экстерьер ——————————————————————————— • черный deep black перламутр* • дисковые тормоза сзади* • легкосплавные колеса ""akono"" • размер дисков: 6j x r15 • хромированная отделка направляющих воздуховодов • задний бампер с хромированными декоративными элементами • решетка радиатора с хромированной вставкой • стальное запасное колесо • повторители сигналов поворота в боковых зеркалах заднего вида • дисковые тормоза спереди • оцинкованный кузов • корпуса наружных зеркал и ручки дверей окрашены в цвет кузова • бамперы окрашены в цвет кузова • шины 185/60 r15 ________ * дополнительные заводские опции. комплектация «exclusive»: • антиблокировочная система • система курсовой устойчивости • датчик давления в шинах • подушки безопасности водителя • подушки безопасности пассажиров, в том числе задних • боковые передние подушки безопасности • система крепления детских автокресел • сигнализация • иммобилайзер • центральный замок • бортовой компьютер • круиз-контроль • парктроник • датчик света • датчик дождя • усилитель руля • запуск двигателя с кнопки • система доступа без ключа • регулировка руля • электростеклоподъемники передние • электропривод зеркал • климат-контроль • подогрев сидений водителя и пассажира • подогрев руля • обогрев зеркал • обогрев лобового стекла • обогрев зоны стеклоочистителей • обогрев форсунок стеклоомывателей • cd • bluetooth • мультифункциональное рулевое колесо • тканевая обивка салона • темный салон • кожаный руль • складывающееся заднее сидение • литые легкосплавные диски • размер дисков 15″ • светодиодные фары • автоматический корректор фар",передний,чёрный,1307300₽,,,,,,,,,,,,,,,,,,
2,new,1.6 л / 110л.с. / бензин,respect,механическая,лифтбек,3740₽ / год,,"фольксваген центр подольск готов сделать вам предложение за пределами возможностей остальных на новые автомобили volkswagen. даже если у вас есть предложение, которое кажется вам оптимальным, позвоните нам, и мы постараемся его улучшить. мы находимся всего в 13 км от мкад в автомобильной деревне с большой бесплатной парковкой. предлагаем лучшие условия покупки: ∙ выдача автомобиля день в день; ∙ широкий выбор автомобилей в наличии на нашем теплом складе; ∙ гибкие условия обмена вашего автомобиля и дополнительное преимущество при трейд-ин; ∙ привлекательные ставки по кредиту; ∙ индивидуальные программы страхования; ∙ яркий и динамичный городской тест-драйв; ∙ безналичный и наличный расчет. звоните сейчас, чтобы узнать все подробности. экстерьер ---------------------------- стальные колеса 6j x 15 с полноразмерными колпаками ""sports9"", шины 185/60 r15 бамперы окрашены в цвет кузова корпуса наружных зеркал и ручки дверей окрашены в цвет кузова оцинкованный кузов зеленое атермальное остекление подвеска для плохих дорог светодиодные фары рефлекторного типа светодиодные задние фонари дневные ходовые огни интерьер ---------------------------- сиденье водителя с регулировкой по высоте тканевая обивка сидений, дизайн для версий origin / respect заднее сиденье 3-местное, спинка ассиметрично разделенная, складная подстаканник спереди хромированная отделка внутренних ручек дверей карманы в обшивках всех дверей 3-спицевое рулевое колесо безопасность ---------------------------- подушки безопасности для водителя и переднего пассажира трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте подголовники спереди с регулировкой по высоте з подголовника сзади, регулируемые по высоте дисковые тормоза спереди электронный иммобилайзер крепления isofix для установки детских сидений на заднем кресле индикация и звуковая сигнализация непристегнутого ремня безопасности водителя антиблокировочная система (abs) система стабилизации esc система контроля давления в шинах система эра-глонасс функциональное оборудование ---------------------------- акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости электростеклоподъемники для всех дверей центральный замок с дистанционным управлением, 2 складных радиоключа многофункциональный дисплей наружные зеркала с электрорегулировкой, электроподогревом повторители сигналов поворота в боковых зеркалах заднего вида омыватель и очиститель лобового стекла с переменным режимом обогрев заднего стекла стальное запасное колесо комфортный режим работы указателей поворота (одно нажатие - три сигнала) кондиционер электроподогрев передних сидений с раздельной регулировкой мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика обогрев форсунок омывателя ветрового стекла * стоимость данного автомобиля указана без учета предустановленного дополнительного оборудования.",передний,белый,от 1035300₽,,,,,,,,,,,,,,,,,,
3,used,1.6 л / 105л.с. / бензин,,механическая,седан,2625₽ / год,,"лот: 01244867 favorit motors kia мкад вы можете получить скидку на данный автомобиль до 50000 рублей. подробности уточняйте у менеджеров отдела продаж. гк favorit motors строит свою работу на принципах открытости и честности! нам доверяют более 25 лет. - автомобиль продается официальным дилером favorit motors. - покупка и обслуживание у официального дилера. - проведена предпродажная подготовка, - гарантия юридической чистоты. - круглосуточная техническая поддержка с бесплатным эвакуатором. - автомобиль можно приобрести за наличный расчет, безналичным платежом, а также мы примем вашу машину по рыночной стоимости в рамках программы трейд-ин и при необходимости — выплатим за нее кредит. - возможна покупка в кредит: специальные предложения по кредитованию и страхованию. - оформление кредита по двум документам. - каско не обязательно. приглашаем на бесплатный тест-драйв! группа компаний favorit motors — один из крупнейших российских холдингов, официальный дилер известных мировых брендов , которые обслуживаются в технических центрах гк favorit motors в рамках официального сервиса. мы предлагаем полный комплекс услуг по предпродажной подготовке и последующему сервису. группа компаний favorit motors занимает лидирующее положение в рейтинге продаж автомобилей с пробегом по москве и области. это подтверждают специализированные исследования рынка за последние пять лет, указывающие на самый крупный объем реализации. в комплектации автомобиля  • тип обивки салона: ткань  • цвет салона: темный  • тип фар: галогеновые  • иммобилайзер  • бортовой компьютер  • обогрев зеркал  • усилитель руля  • центральный замок  • обогрев передних сидений  • климат: кондиционер  • электропривод зеркал  • стеклоподъемники: электро все  • сиденье водителя: ручная регулировка по высоте  • сиденье пассажира: ручная регулировка  • регулировка руля: в двух плоскостях  • антиблокировочная система (abs)  • подушки безопасности: водителя и пассажира  • задний парковочный радар  • система крепления isofix  • cd  • usb  • тип передних тормозов: дисковые  • тип задних тормозов: барабанные",передний,синий,510000₽,1.0,xw8**************,1владелец,2013,1.0,рассмотрю варианты,73616км,оригинал,левый,не требует ремонта,растаможен,,,,,,,
4,new,1.6 л / 110л.с. / бензин,status,автоматическая,лифтбек,2750₽ / год,,"выгодные предложения на все комплектации и цвета в наличии! оформление сделки за 1 час. фольксваген центр бутово является официальным дилером volkswagen и входит в состав группы компаний «авторусь». это один из первых дилерских центров volkswagen, работающих по абсолютно новой концепции digital, в которой используются самые технологичные решения и инновационное дилерское оборудование. услуги дилерского центра: ∙ продажа полного модельного ряда автомобилей volkswagen; ∙ тест-драйв любой, интересующей вас, модели нового автомобиля; ∙ техническое обслуживание и ремонт любой сложности; ∙ страхование и кредитование на специальных условиях; ∙ любые оригинальные детали и аксессуары в наличии с выгодой до 10% и под заказ. экстерьер ---------------------------- легкосплавные колеса ""tosa"" 6j x 15, шины 185/60 r15 бамперы окрашены в цвет кузова корпуса наружных зеркал и ручки дверей окрашены в цвет кузова оцинкованный кузов зеленое атермальное остекление подвеска для плохих дорог светодиодные фары рефлекторного типа светодиодные задние фонари дневные ходовые огни интерьер ---------------------------- сиденье водителя с регулировкой по высоте тканевая обивка сидений, дизайн для версии status заднее сиденье 3-местное, спинка ассиметрично разделенная, складная подстаканник спереди центральный подлокотник сзади хромированная отделка внутренних ручек дверей декор передней консоли для версии status карманы в обшивках всех дверей мультифункциональное рулевое колесо с кожаной отделкой и обогревом кожаная отделка рукояток рычагов кп и стояночного тормоза безопасность ---------------------------- подушки безопасности для водителя и переднего пассажира трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте подголовники спереди с регулировкой по высоте з подголовника сзади, регулируемые по высоте дисковые тормоза спереди электронный иммобилайзер крепления isofix для установки детских сидений на заднем кресле индикация и звуковая сигнализация непристегнутого ремня безопасности водителя антиблокировочная система (abs) система стабилизации esc система контроля давления в шинах система эра-глонасс функциональное оборудование ---------------------------- акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости электростеклоподъемники для всех дверей центральный замок с дистанционным управлением, 2 складных радиоключа многофункциональный дисплей ""plus"" наружные зеркала с электрорегулировкой, электроподогревом повторители сигналов поворота в боковых зеркалах заднего вида омыватель и очиститель лобового стекла с переменным режимом обогрев заднего стекла стальное запасное колесо комфортный режим работы указателей поворота (одно нажатие - три сигнала) климат-контроль автоматический «climatronic» с режимом рециркуляции круиз-контроль электроподогрев передних сидений с раздельной регулировкой мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика салонное зеркало с автозатемнением обогрев форсунок омывателя ветрового стекла * стоимость данного автомобиля указана без учета предустановленного дополнительного оборудования.",передний,коричневый,от 1154800₽,,,,,,,,,,,,,,,,,,
5,new,1.6 л / 110л.с. / бензин,exclusive,механическая,лифтбек,3740₽ / год,,"фольксваген центр подольск готов сделать вам предложение за пределами возможностей остальных на новые автомобили volkswagen. даже если у вас есть предложение, которое кажется вам оптимальным, позвоните нам, и мы постараемся его улучшить. мы находимся всего в 13 км от мкад в автомобильной деревне с большой бесплатной парковкой. предлагаем лучшие условия покупки: ∙ выдача автомобиля день в день; ∙ широкий выбор автомобилей в наличии на нашем теплом складе; ∙ гибкие условия обмена вашего автомобиля и дополнительное преимущество при трейд-ин; ∙ привлекательные ставки по кредиту; ∙ индивидуальные программы страхования; ∙ яркий и динамичный городской тест-драйв; ∙ безналичный и наличный расчет. звоните сейчас, чтобы узнать все подробности. экстерьер ---------------------------- легкосплавные колеса ""akono"" 6j x 15, шины 185/60 r15 бамперы окрашены в цвет кузова корпуса наружных зеркал и ручки дверей окрашены в цвет кузова оцинкованный кузов зеленое атермальное остекление подвеска для плохих дорог светодиодные фары проекционного типа с функцией всепогодного освещения светодиодные задние фонари дневные ходовые огни решетка радиатора с хромированной вставкой задний бампер с хромированными декоративными элементами интерьер ---------------------------- сиденье водителя с регулировкой по высоте тканевая обивка сидений, дизайн для версии exclusive заднее сиденье 3-местное, спинка ассиметрично разделенная, складная подстаканник спереди центральный подлокотник спереди с боксом центральный подлокотник сзади хромированная отделка внутренних ручек дверей хромированная отделка направляющих воздуховодов декор передней консоли для версии exclusive карманы в обшивках всех дверей мультифункциональное рулевое колесо с кожаной отделкой и обогревом атмосферная подсветка пространства для ног спереди кожаная отделка рукояток рычагов кп и стояночного тормоза безопасность ---------------------------- подушки безопасности для водителя и переднего пассажира трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте подголовники спереди с регулировкой по высоте з подголовника сзади, регулируемые по высоте дисковые тормоза спереди дисковые тормоза сзади электронный иммобилайзер крепления isofix для установки детских сидений на заднем кресле индикация и звуковая сигнализация непристегнутого ремня безопасности водителя антиблокировочная система (abs) система стабилизации esc система контроля давления в шинах система эра-глонасс функциональное оборудование ---------------------------- акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости электростеклоподъемники для всех дверей центральный замок с дистанционным управлением, 2 складных радиоключа цифровая приборная панель ""active info display"" наружные зеркала с электрорегулировкой, электроподогревом повторители сигналов поворота в боковых зеркалах заднего вида омыватель и очиститель лобового стекла с переменным режимом обогрев заднего стекла стальное запасное колесо комфортный режим работы указателей поворота (одно нажатие - три сигнала) климат-контроль автоматический «climatronic» с режимом рециркуляции круиз-контроль электроподогрев передних сидений с раздельной регулировкой мультимедиа система с дисплеем 8.0 дюймов и поддержкой функцией bluetooth / app-connect, 6 динамиков датчики парковки спереди и сзади датчики света и дождя салонное зеркало с автозатемнением система бесключевого доступа и запуска двигателя ""keyless access"" электрообогрев лобового стекла обогрев форсунок омывателя ветрового стекла * стоимость данного автомобиля указана без учета предустановленного дополнительного оборудования.",передний,чёрный,от 1252800₽,,,,,,,,,,,,,,,,,,
6,new,1.6 л / 110л.с. / бензин,respect,механическая,лифтбек,2750₽ / год,,"——————————————————————————— функциональное оборудование ——————————————————————————— • мультифункциональное рулевое колесо* • датчики парковки спереди и сзади* • пакет ""комфорт""* • центральный замок с дистанционным управлением, 2 складных радиоключа • светодиодные фары рефлекторного типа • дневные ходовые огни • подвеска для плохих дорог • наружные зеркала с электроподогревом • обогрев форсунок омывателя ветрового стекла • электроподогрев передних сидений с раздельной регулировкой • наружные зеркала с электрорегулировкой • электростеклоподъемники для всех дверей • электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости • рулевая колонка с регулировкой по высоте и вылету • кондиционер • мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика • заднее сиденье 3-местное, спинка ассиметрично разделенная, складная • многофункциональный дисплей • комфортный режим работы указателей поворота (одно нажатие - три сигнала) • обогрев заднего стекла • омыватель и очиститель лобового стекла с переменным режимом • акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) • система эра-глонасс • сиденье водителя с регулировкой по высоте • светодиодные задние фонари ——————————————————————————— безопасность ——————————————————————————— • фронтальные подушки безопасности для водителя и переднего пассажира • антиблокировочная система (abs) • система стабилизации esc • система контроля давления в шинах • крепления isofix для установки детских сидений на заднем кресле • электронный иммобилайзер • индикация и звуковая сигнализация непристегнутого ремня безопасности водителя • з подголовника сзади, регулируемые по высоте • подголовники спереди с регулировкой по высоте • трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте ——————————————————————————— интерьер ——————————————————————————— • цвет обивки сидений: черный titanium* • цвет передней панели: черный titanium* • цвет коврового покрытия: черный* • цвет потолка: серый* • 3-спицевое рулевое колесо с кожаной отделкой* • центральный подлокотник спереди с боксом* • текстильные коврики в салон* • количество мест: 5 • тип сидений: обычные сиденья • тканевая обивка сидений • зеленое атермальное остекление • карманы в обшивках всех дверей • хромированная отделка внутренних ручек дверей • подстаканник спереди ——————————————————————————— экстерьер ——————————————————————————— • черный deep black перламутр* • стальные колеса с полноразмерными колпаками ""sports9"" • размер дисков: 6j x r15 • стальное запасное колесо • повторители сигналов поворота в боковых зеркалах заднего вида • дисковые тормоза спереди • оцинкованный кузов • корпуса наружных зеркал и ручки дверей окрашены в цвет кузова • бамперы окрашены в цвет кузова • шины 185/60 r15 ________ * дополнительные заводские опции. комплектация «respect»: • антиблокировочная система • система курсовой устойчивости • датчик давления в шинах • подушки безопасности водителя • подушки безопасности пассажира • система крепления детских автокресел • иммобилайзер • центральный замок • бортовой компьютер • парктроник • усилитель руля • регулировка руля • электростеклоподъемники передние • электропривод зеркал • кондиционер • подогрев сидений водителя и пассажира • обогрев зеркал • обогрев форсунок стеклоомывателей • cd • bluetooth • мультифункциональное рулевое колесо • тканевая обивка салона • темный салон • кожаный руль • складывающееся заднее сидение • светодиодные фары • автоматический корректор фар",передний,чёрный,от 905435₽,,,,,,,,,,,,,,,,,,
7,new,1.6 л / 110л.с. / бензин,status,автоматическая,лифтбек,2750₽ / год,,"в стоимость автомобиля включено дополнительное оборудование дилера на сумму 76700 р., подробную информацию уточняйте в отделе продаж ——————————————————————————— функциональное оборудование ——————————————————————————— • датчики света* • электрообогрев лобового стекла* • подогрев задних сидений* • мультифункциональное рулевое колесо* • климат-контроль автоматический «climatronic» с режимом рециркуляции* • датчики парковки спереди и сзади* • датчики дождя* • пассажирское сиденье с регулировкой по высоте* • пакет ""комфорт""* • салонное зеркало с автозатемнением* • пакет ""зимний""* • центральный замок с дистанционным управлением, 2 складных радиоключа • светодиодные фары рефлекторного типа • дневные ходовые огни • подвеска для плохих дорог • наружные зеркала с электроподогревом • обогрев форсунок омывателя ветрового стекла • электроподогрев передних сидений с раздельной регулировкой • рулевое колесо с обогревом • наружные зеркала с электрорегулировкой • электростеклоподъемники для всех дверей • электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости • рулевая колонка с регулировкой по высоте и вылету • мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика • заднее сиденье 3-местное, спинка ассиметрично разделенная, складная • многофункциональный дисплей ""plus"" • круиз-контроль • комфортный режим работы указателей поворота (одно нажатие - три сигнала) • обогрев заднего стекла • омыватель и очиститель лобового стекла с переменным режимом • акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) • система эра-глонасс • сиденье водителя с регулировкой по высоте • светодиодные задние фонари ——————————————————————————— безопасность ——————————————————————————— • система распознования усталости водителя* • фронтальные подушки безопасности для водителя и переднего пассажира • антиблокировочная система (abs) • система стабилизации esc • система контроля давления в шинах • крепления isofix для установки детских сидений на заднем кресле • электронный иммобилайзер • индикация и звуковая сигнализация непристегнутого ремня безопасности водителя • з подголовника сзади, регулируемые по высоте • подголовники спереди с регулировкой по высоте • трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте ——————————————————————————— интерьер ——————————————————————————— • цвет обивки сидений: бежевый pure beige* • цвет передней панели: черный* • цвет коврового покрытия: темно-бежевый dark pure beige* • цвет потолка: серый* • 3-спицевое рулевое колесо с кожаной отделкой* • центральный подлокотник спереди с боксом* • текстильные коврики в салон* • количество мест: 5 • тип сидений: обычные сиденья • тканевая обивка сидений • зеленое атермальное остекление • декор передней консоли status • центральный подлокотник сзади • кожаная отделка рукояток рычагов кп и стояночного тормоза • карманы в обшивках всех дверей • хромированная отделка внутренних ручек дверей • подстаканник спереди ——————————————————————————— экстерьер ——————————————————————————— • красный ruby металлик* • легкосплавные колеса ""tosa"" • размер дисков: 6j x r15 • стальное запасное колесо • повторители сигналов поворота в боковых зеркалах заднего вида • дисковые тормоза спереди • оцинкованный кузов • корпуса наружных зеркал и ручки дверей окрашены в цвет кузова • бамперы окрашены в цвет кузова • шины 185/60 r15 ________ * дополнительные заводские опции. комплектация «status»: • антиблокировочная система • система курсовой устойчивости • датчик усталости водителя • датчик давления в шинах • подушки безопасности водителя • подушки безопасности пассажира • система крепления детских автокресел • иммобилайзер • центральный замок • бортовой компьютер • круиз-контроль • парктроник • датчик света • датчик дождя • усилитель руля • регулировка руля • электростеклоподъемники передние • электропривод зеркал • климат-контроль • подогрев сидений водителя, пассажира и задних пассажиров • подогрев руля • обогрев зеркал • обогрев лобового стекла • обогрев зоны стеклоочистителей • обогрев форсунок стеклоомывателей • cd • bluetooth • мультифункциональное рулевое колесо • тканевая обивка салона • кожаный руль • складывающееся заднее сидение • литые легкосплавные диски • размер дисков 15″ • светодиодные фары • автоматический корректор фар",передний,красный,от 991248₽,,,,,,,,,,,,,,,,,,
