,review,type
0,"Советую модель на 128 GB. Именно Pro в ней есть все что нужно! Очень понравился. Отличная модель за свои деньги! Поддержка быстрой зарядки (30вт) Большая батарея (на 5020 mAh) Nfc модуль Быстрый отпечаток (с боку(в кнопке)) Быстрый процессор (Snapdragon 720G) Основная камера на 64 MP Большой экран (для кого-то это минус, но мне нравятся большие телефоны) Мне понравился чехол в комплекте, но купил другой. Ик-порт (для управления например телевизором) Не могу промолчать про заднюю крышку (у меня серая). Она стеклянная (Gorilla Glass v5). Очень красиво смотрится, особенно на солнце. И еще отмечаю флагманскую вибрацию. Это не дребежяние, а как бы можно сказать ""тактильная отдача"" (в настройках так и написано) Все очень круто. Жалко что MIUI 12 еще не выпустили. А так минусов не нашел.",/img/svg/review-smile-4.svg
1,"Телефон - огонь) Хорошая модель, мне понравилось. Игрушки идут, ну не на ультрах 60 фпс, но идут и это самое главное. До этого был samsung j5 2017, решил поменять на посвежее. Пользуюсь 2 недели, всё устраивает, жду MIU 12. Довольно мощный процессор, почти не греется, не тротлит. На 1.5 дня использования батарии хватает Неплохая камера Т.к. у меня довольно большие руки, размер телефона - лопаты как раз)) Нравится внешний вид, хотя это скорее на любителя Есть глюки в некоторых приложениях, но я думаю это поправят. Сильно выпирает камера, стандартный чехол от царапин на камере не защитит, лучше сразу нормальный купить.",/img/svg/review-smile-4.svg
2,"Аппарат очень хороший,конечно рекомендую к преобретению. Первый редмик от XIAOMI.Предыдущий Mi A2.Если в сравнении разница большая.(как никак два года по релизу) Размеры экрана и картинка приятная глазу.И ширина корпуса сделали хват очень приятным не смотря на его размеры.Аккумулятор!!!Вот это то что очень ждали как и производительный процессор.Всё что юзаю пока летает. Как совет изучайте все подсказки и ссылки на инструкцию,так как есть свои заморочки отличающиеся от чистого андроида. Аккумулятор.Процессор.Размер.Камера(основная)быстродействие в сети с хорошим приёмом. Так как MiUi11 прошивка с небольшими заморочками в некоторых системных задачах.",/img/svg/review-smile-4.svg
3,"Уверен, что телефон своих денег стои, а баланс цена качество соблюден. Раньше у меня был Xiaomi Redmi 4A 2/16 через 2,5 года постоянно висело сообщение о недостатке памяти, хотя сторонних приложений я практически не ставил. Перед этим жене купил MI 8Lite она довольна. И я себя решил порадовать и купил данный телефон 1,5 месяца назад в исполнении 6/128 (так, что б хватало). В целом телефон понравился и я им доволен, хотя к размеру привыкал и не в каждый карман его теперь положишь. В игры я не играю но работа с документами и интернет серфинг нареканий не вызывает. 1. Хорошая основная камера. Сравнивали со старым флагманом другой марки - Р20 так довольно неплохие фото получаются если не считать фото с зумом. Видео тоже мне понравилось, есть куча настроек но мне это без надобности.2. Заряд держит 3 дня в обычном режиме телефон/интернет/приложения. Зарядка мегабыстрая. Утром вижу что забыл зарядить телефон, ставлю его на зарядку пока умываюсь и одеваюсь и его потом на 1,5 дня хватает.3. Хороший большой и четкий экран/изображение Я специально искал тел с IPS экраном. 4. Чехол в комплекте с заглушкой на порт зарядки очень норм.5. защитная пленка на экран с завода.6. Приложения грузятся быстро и работают быстро.7 Фронтальная камера нареканий не вызывает.8. качество сборки, материалы и внешний вид очень достойно 1. У меня раньше не было телефона с датчиком отпечатка пальца но установить этот датчик на кнопку питания считаю далеко не лучшим решением. В процессе эксплуатации когда просто берешь телефон в руку, достаешь/кладешь в/из кармана или перекладываешь с места на место ты постоянно невольно ее касаешься, а она срабатывает на распознавание и конечно не распознает т.к. ты ее касаешься совсем другими частями руки. Потом, когда уже правильным пальцем касаешься то пишет что превышено число некорректных распознаваний, введите графический ключ.2. при интернет серфинге бывает просто зависает на каком то моменте при прокрутке страницы и в таком случае нужно только заново сделать вкл/выкл экран. Думаю допилят ПО и будет норм.3. если включен режим поворота экрана то достаточно немного наклонить руку в сторону и экран сразу переворачивается в горизонталь (очень чувствительно). 3. Аудио динамик один, внизу и довольно посредственный.Бывает держишь телефон в правой руке и он закрывается , а по другому взять сложно так как телефон большой.4. Динамик телефона немного странный с правого уха все слышу без проблем потом перекладываю на левое и нужно искать как его приложить что бы услышать звонящего. Скажу сразу, что на предыдущем телефоне такого не было)))) в чем проблема непонятно",/img/svg/review-smile-3.svg
4,"Всем рекомендую) Итак, искал я телефон для покупки за 20 - 25к и остановился на xiaomi redmi note 9 pro, телефоном пользуюсь уже больше недели, в целом свою цену он полностью оправдывает, да и на фоне конкурентов, как по мне, выглядит более достойным вариантом. Батарея на 5020 мАч, стильный дизайн, NFS, большой экран, игровой процессор, наличие ИК порта, прокаченный вибро отклик Нет теле объектива, пластиковые боковые рамки, нет стабилизации в 4к, один динамик, такой себе ширик.",/img/svg/review-smile-4.svg
5,"В общем берите, не пожалеете Телефон сам стильный, лично у меня зелёного цвета, большой экран мне очень нравится))) Особенная вибрация, что вообще супер))) Внешний вид, отпечаток на кнопке сбоку, особенная вибрация, камера, быстрая зарядка, ну прям оочень быстрая, много памяти на 128гб Не нашла недостатков",/img/svg/review-smile-4.svg
6,"Брать однозначно, но готовьтесь к такому разочарованию. Купил телефон за 15800 на АлиЭкспрес, версия 6/128. Всё идеально работало, быстро, камера бомба, экран. Но как ко мне приехал чехол, чищу камеру от пыли, и тут бац, соринки под камерой... Массовая проблема, на 4pda тоже об этом пишут. Камера, мощность, экран, звук. Спустя месяц появилась пыль под задней камерой. Больше минусов нет.",/img/svg/review-smile-3.svg
7,"Как всегда топ за свои деньги. Модель хорошая, но миюай сырая. Бывает что камера не запускается, бывает что при сворачивании игры рабочий стол зависает. По поводу игр. Пабг доступен изначально графика высоко/ ФПС высоко, но с gfx tool доступно максимально/экстримальный (60 фпс). И тянет практически без фризов. Быстрая зарядка (с 10% до 100% за 70 минут), процессор, экран (нет заветов и цвета хорошие), камера (основной модуль), ИК порт, громкий динамик Сырая прошивка, нет камеры для приближения, нет стабилизации в 1080p 60fps (только при 1080/30)",/img/svg/review-smile-3.svg
8,"Смартфон топ, минусы есть, но плюсов всё же больше, так что советую брать. Смартфон очень хороший, меня почти всё в нём устраивает, камера хорошая, делает чёткие и детализированные фотографии, хотя назвать ее очень хорошей не могу. Процессор тоже хороший, пока что в тяжёлые игры ( Pubg, Asphalt 9, Standoff 2 и т.д) не играл, но всё таки на борту Snapdragon 720g, который вроде даже некоторые игры на максималках тянет. Вот по поводу батареи вопросов и нареканий нет вообще, так как даже такому активному пользователю как я, эта модель угодила, 5020mah, держит заряд 1,5-2 дня спокойно. Экран хоть и ips, но довольно яркий, размер это наверное один из самых не приятных моментов, так как у меня рука не очень большая, держать первое время было очень сложно, но как все и говорят, к нему очень быстро привыкаешь. Дизайн тоже порадовал, советую брать в зелёном цвете ( как у меня ) или в сером ( хотя он больше голубой ), белый не очень как по мне. По памяти ничего нового не скажу, для тех кто не скачивает половину ПлейМаркета, не очень часто делает фото или видео, не скачивает кино, то берите 6/64, и соответственно противоположный ему человек будет брать 6/128, мне лично хватает 6/64, но это пока, если что вставлю карту памяти.   Получилось не кратко, но надеюсь помог) 1) Батарея 5020mah, хватает на 1,5-2 дня 2) Камера, делает хорошие фотографии, но не ждите уровня флагмана 3) Процессор Snapdragon 720g, примерно 280k в Антуту 1) Экран ips, не сказать что это прямо минус, кому то этот экран нравится даже больше, но я всё таки сторонник экранов amoled 2) Размер, хотя тоже 50/50, опять же привыкаешь быстро к нему, но у кого совсем компактная рука, 100 раз подумайте, нужна ли вам такая лопата",/img/svg/review-smile-3.svg
9,"отличная модель, очень понравилось хорошая мобила проц мощный, батарея и размер мне не мешает пока ничего",/img/svg/review-smile-4.svg
